for_brand,for_lens_model,with_adapter,zooms_primes,speical_designs,format_comatibility,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Olympus,T-Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Four Thirds,,,,,,,,,,,,,,,,,
Pentax,Pentax Q,,,,,,,,,,,,,,,,,
Pentax,Pentax Q,,,,,,,,,,,,,,,,,
Pentax,Pentax Q,,,,,,,,,,,,,,,,,
Pentax,Pentax Q,,,,,,,,,,,,,,,,,
Pentax,Pentax Q,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax,,,,,,,,,,,,,,,,,
Canon,Canon FD,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
"Contax, Yashica",Contax,,,,,,,,,,,,,,,,,
Minolta,Minolta MD,,,,,,,,,,,,,,,,,
"Sony, Minolta",Sony Alpha / Minolta Maxxum,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Olympus,Olympus OM,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax,,,,,,,,,,,,,,,,,
"Contax, Yashica",Contax,,,,,,,,,,,,,,,,,
#REF!,Canon FD,,,,,,,,,,,,,,,,,
"Contax, Yashica",Contax,,,,,,,,,,,,,,,,,
Minolta,Minolta MD,,,,,,,,,,,,,,,,,
Olympus,Olympus OM,,,,,,,,,,,,,,,,,
Universal,M42 Mount,,,,,,,,,,,,,,,,,
Canon,Canon FD,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Minolta,Minolta MD,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax AF,,,,,,,,,,,,,,,,,
Universal,M42 Mount,,,,,,,,,,,,,,,,,
"Contax, Yashica",Contax,,,,,,,,,,,,,,,,,
#REF!,Pentax K,,,,,,,,,,,,,,,,,
Pentax,Pentax AF,,,,,,,,,,,,,,,,,
Olympus,Olympus OM,,,,,,,,,,,,,,,,,
Universal,T-Mount,,,,,,,,,,,,,,,,,
