Brand," DNLA"," SKU_NO"," SEQNUM"," SPEC_NAME"," SPEC_VALUE"," SPEC_VALUE_RAW"," "
185338,N,8480,7,"15mm Rod Length","11.75"" (29.8 cm)","11.75"" (29.8 cm)"
185338,N,8480,8,Dimensions,"Cage: 4.5 x 7 x 2"" (11.4 x 17.8 x 5.1 cm)
Top Handle: 2 x 2 x 1"" (5.1 x 5.1 x 2.5 cm)
Baseplate: 2.75 x 4.25 x 1.75"" (7 x 10.8 x 4.4 cm)","Cage: 4.5 x 7 x 2"" (11.4 x 17.8 x 5.1 cm)
Top Handle: 2 x 2 x 1"" (5.1 x 5.1 x 2.5 cm)
Baseplate: 2.75 x 4.25 x 1.75"" (7 x 10.8 x 4.4 cm)"
185338,N,8480,9,Weight,"Fully Assembled (Without Camera): 2.2 lb (1 kg)","Fully Assembled (Without Camera): 2.2 lb (1 kg)"
185338,N,8479,1,Misc,,
185338,N,8479,1,"Camera Compatibility","Sony a7, a7R, a7S, a7 II, a7R II, a7S II","Sony a7, a7R, a7S, a7 II, a7R II, a7S II"
185338,N,8479,2,"Material of Construction","Cage: Aluminum
Grip: Rosewood
15 mm Rods: Aluminum","Cage: Aluminum
Grip: Rosewood
15 mm Rods: Aluminum"
185338,N,8479,3,"Rod Standard","15 mm LWS (60 mm spacing)","15 mm LWS (60 mm spacing)"
185338,N,8479,4,"Accessory Mounting Threads","1/4""-20 and 3/8""-16","1/4""-20 and 3/8""-16"
185338,N,8479,5,"Tripod Mounting Threads","1/4""-20 and 3/8""-16","1/4""-20 and 3/8""-16"
185338,N,8479,6,"15mm Rod Length","11.75"" (29.8 cm)","11.75"" (29.8 cm)"
