BRAND,SKU_NO,SEQNUM,CAPTION,FILE_NAME,THUMBNAIL,FULL_URL
Axler,6347,12,Case,IMG_443633.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_443633.jpg
Axler,6348,1,Bottom & Detailed Views,IMG_466551.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_466551.jpg
Axler,6348,2,In-Use - Fore-Aft Plate Slide,IMG_478957.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478957.jpg
Axler,6348,3,In-Use - Lateral Plate Slide,IMG_478958.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478958.jpg
Axler,6349,1,Bottom & Detailed Views,IMG_466552.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_466552.jpg
Axler,6349,2,In-Use - Fore-Aft Plate Adjustment,IMG_478965.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478965.jpg
Axler,6349,3,In-Use - Lateral Plate Adjustment,IMG_478966.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478966.jpg
Axler,8228,1,,IMG_631231.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631231.jpg
Axler,8228,2,,IMG_631232.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631232.jpg
Axler,8228,3,,IMG_631233.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631233.jpg
Axler,8228,4,Bracket Bottom and Offset Plate,IMG_631234.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631234.jpg
Axler,8228,5,Ports,IMG_631235.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631235.jpg
Axler,8228,6,Work-light,IMG_631236.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631236.jpg
Axler,8228,7,Batteries and Charger,IMG_631237.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631237.jpg
Axler,8228,8,Case,IMG_631238.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631238.jpg
Axler,8228,9,Suggested Use,IMG_631239.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_631239.jpg
Axler,8310,1,,IMG_529806.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_529806.jpg
Axler,8310,2,Shown in Use,IMG_530793.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_530793.jpg
Axler,8479,1,,IMG_605936.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605936.jpg
Axler,8479,2,,IMG_605937.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605937.jpg
Axler,8479,3,,IMG_605938.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_605938.jpg
